"count(common_name)","oo_week","American_pokeweed","boxelder_maple","chicory","common_bracken","common_buckthorn","common_jewelweed","common_milkweed","dame_s_rocket","eastern_skunk_cabbage","eastern_white_pine","garlic_mustard","Ghost_Pipes","great_mullein","Jack_in_the_pulpit","large_white_trillium","mayapple","northern_red_oak","northern_whitecedar","poison_ivy","purple_loosestrife","red_maple","sensitive_fern","sugar_maple","wild_carrot","yellow_trout_lily"
952,33,59,23,45,73,59,91,53,7,3,43,1,141,21,16,0,0,33,43,31,63,37,29,14,67,0
1283,34,50,61,38,26,76,87,37,0,4,123,2,37,19,34,2,5,152,119,35,52,127,27,118,52,0
750,35,64,17,36,22,52,94,48,2,6,45,5,42,22,45,1,2,29,28,26,41,27,29,27,40,0
633,36,60,25,46,19,45,58,57,2,2,35,4,40,15,48,0,2,17,18,23,34,12,17,19,35,0
210,37,29,14,14,3,12,14,16,2,1,7,3,9,7,9,0,1,6,10,9,6,12,1,11,14,0
131,38,17,11,7,4,12,4,8,0,0,6,3,5,3,4,1,0,5,3,9,0,13,3,3,10,0
115,39,5,0,4,7,6,0,8,0,0,22,0,4,7,4,0,0,7,23,3,0,5,3,7,0,0
261,40,26,4,10,10,4,1,18,1,2,21,1,3,9,8,0,0,7,11,5,2,51,10,48,9,0
145,41,15,4,4,7,7,0,17,1,2,11,1,1,9,0,0,0,11,11,9,1,15,2,15,2,0
225,42,10,1,5,4,4,1,17,1,1,32,0,1,2,0,0,0,29,7,9,2,31,2,63,3,0
61,43,4,3,1,0,5,0,4,0,2,4,0,0,2,0,0,0,6,1,1,1,10,1,13,3,0
30,44,2,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,1,0,4,3,2,5,4,0
12,45,1,0,0,0,0,0,1,0,0,2,0,2,0,0,0,0,3,0,0,0,1,0,2,0,0
9,46,0,0,0,0,1,0,2,0,1,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0
20,47,1,0,0,0,2,0,1,0,0,5,1,0,1,1,0,0,4,1,2,0,0,0,0,1,0
7,48,1,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6,49,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0
7,50,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
14,51,0,1,0,0,1,0,0,0,2,2,0,1,1,0,0,0,1,2,0,0,0,0,2,1,0
6,52,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0
